ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
57520,Minden (NE),40.497483,-98.951252,2891,3.6596531999,,
57979,Mocksville (NC),35.901873,-80.557154,5191,15.4415091138,,
15616,Charlevoix (MI),45.309,-85.252038,4179,11.7300561517,,
30196,Folkston (GA),30.839082,-82.002699,5961,12.4552528226,,
04789,Baldwin City (KS),38.777506,-95.18748,4428,5.32242556674,,
76690,Rumford (ME),44.552529,-70.547448,4987,5.05306680327,,
18680,Coldwater (OH),40.48269,-84.631441,4473,4.87435762365,,
44344,Kenai (AK),60.566972,-151.257601,4921,13.6233374604,,
18775,Colonial Beach (VA),38.256935,-76.97469,3693,4.58945893152,,
53416,Mahomet (IL),40.198406,-88.387854,11044,17.7336485915,,
05410,Basalt--El Jebel (CO),39.388924,-107.087515,8531,10.4713219301,,
21664,Cullowhee (NC),35.320013,-83.188619,10837,20.2226271655,,
20287,Corpus Christi (TX),27.745333,-97.412599,320069,311.528949887,12686458.752,1730.0
14212,Carthage (IL),40.414538,-91.135021,2582,4.20614069119,,
91054,Waconia (MN),44.841988,-93.793195,10748,11.3700478044,,
04411,Ava (MO),36.954458,-92.661589,2857,5.4130751506,,
79039,San Jose (CA),37.329845,-121.945145,1664496,740.692569758,57912243.84,3693.0
01252,Alexander City (AL),32.939745,-85.957946,9400,25.1591445038,,
63325,Nogales (AZ),31.408478,-110.95936,32044,64.5658136026,,
20044,Corcoran (CA),36.085268,-119.563195,25516,16.9696020989,,
90851,Virden (IL),39.516078,-89.76735,4266,6.35065084654,,
83629,Spencer (IA),43.143744,-95.156558,10952,16.0035365338,,
83278,South Hill (VA),36.72211,-78.115354,4834,12.5174125373,,
14185,Cartersville (GA),34.19247,-84.828245,52477,131.055988371,,
05788,Baxley (GA),31.771186,-82.346883,5208,14.6904125618,,
10198,Bridgeville (DE),38.727397,-75.589709,3343,8.15587255945,,
94807,Whitehall (MI),43.385968,-86.202296,10568,35.1305987286,,
71506,Portsmouth (NH--ME),43.036364,-70.81534,88200,240.021968149,3857597.568,490.0
01090,Albion (MI),42.252722,-84.75533,9219,17.1016914925,,
41158,Independence (KS),37.229062,-95.714514,9959,14.7499822884,,
68320,Pelham (GA),31.130385,-84.156221,3750,5.75495358117,,
15859,Cheboygan (MI),45.639155,-84.476836,4517,9.01833860019,,
18397,Cody (WY),44.522764,-109.050402,9338,16.4412445244,,
39133,Hinesville (GA),31.823468,-81.617173,51456,80.6574097321,1355067.648,270.0
89719,Upper Greenwood Lake (NJ),41.175154,-74.382072,3879,4.26571041772,,
83156,South Deerfield (MA),42.434253,-72.564163,5028,17.0732016233,,
34435,Grangeville (ID),45.926138,-116.123233,3150,3.89534211795,,
59572,Moultrie (GA),31.173919,-83.776561,18677,47.0937538102,,
54037,Manning (SC),33.693581,-80.221119,4998,10.4765019063,,
11134,Buckeye (AZ),33.390473,-112.583155,19424,27.1042255747,,
14320,Carthage (TN),36.24688,-85.950403,3282,7.50319555564,,
18370,Cochran (GA),32.390238,-83.346608,6324,11.947615153,,
03034,Arecibo (PR),18.4546,-66.80797,139171,217.740300436,2877507.072,618.0
15103,Century (FL--AL),30.968076,-87.259986,3321,7.417725948,,
92431,Washington Court House (OH),39.539735,-83.437564,15168,17.5238595545,,
02035,Amery (WI),45.306434,-92.364101,2832,5.34055548351,,
77905,St. Marys (WV--OH),39.398025,-81.220842,4315,6.76763893231,,
87625,Tifton (GA),31.452841,-83.513473,23757,45.8790493865,,
39565,Holly Springs (MS),34.771767,-89.443523,6160,11.3078880897,,
91459,Walnut Ridge (AR),36.062992,-90.965968,6346,9.59331596068,,
59977,Mount Morris (IL),42.044537,-89.424877,3457,5.26803581642,,
30601,Fort Branch (IN),38.241084,-87.580323,4379,4.79406799223,,
91189,Wahpeton (ND--MN),46.268123,-96.601372,11113,17.4565198637,,
34327,Grand Rapids (MN),47.23171,-93.525484,9285,20.8597642406,,
47827,Laramie (WY),41.316359,-105.605745,31965,47.4822520268,,
30358,Forest Lake (MN),45.285152,-92.960338,21816,46.2934474841,,
15589,Charlestown (RI),41.38411,-71.621941,2942,10.8520501823,,
83710,Spirit Lake (IA),43.390905,-95.116367,10826,30.0827119016,,
22555,Dayton (TN),35.488876,-85.015979,10174,23.5222720181,,
02926,Arcata-McKinleyville (CA),40.914605,-124.089324,32364,42.6337942842,,
23662,DeRidder (LA),30.856066,-93.294939,13341,42.7114939276,,
76231,Rome (NY),43.233004,-75.442353,33428,56.2312318635,,
67402,Paragould (AR),36.064139,-90.510536,24620,51.4060840139,,
12592,Calipatria (CA),33.124883,-115.512646,3538,2.66250777743,,
66133,Osceola (IA),41.030517,-93.770584,4819,8.59617053821,,
66134,Osceola (WI),45.328803,-92.67199,3593,10.634491181,,
72262,Princess Anne (MD),38.203196,-75.692534,10396,9.19445779169,,
35596,Greenwood (SC),34.204904,-82.168388,42103,90.7428234337,,
27712,Ephraim (UT),39.357351,-111.581381,5781,5.69279386652,,
15076,Centralia (WA),46.729136,-122.982797,39517,81.7736946076,,
94402,West Point (MS),33.608389,-88.648618,9173,17.2622707554,,
03250,Arvin (CA),35.203012,-118.832555,19573,11.2042885653,,
89002,Tunkhannock (PA),41.551781,-75.953471,3426,8.85516934924,,
64972,Ogdensburg (NY),44.697997,-75.478287,11344,11.7559560328,,
03925,Atmore (AL),31.021931,-87.487418,6565,12.25323375,,
90514,Victoria (TX),28.826115,-96.985119,63683,75.1692249263,2222504.064,483.0
28711,Fairfield (IA),41.009403,-91.954444,10320,17.839838104,,
72640,Pukalani--Makawao--Haiku-Pauwela (HI),20.850751,-156.317382,26128,54.4648599723,,
47010,Lake Placid (FL),27.287179,-81.363124,16351,48.7901960225,,
94591,West Wendover (NV--UT),40.72305,-114.034045,5365,17.6481789838,,
47017,Lake Placid (NY),44.279914,-73.984212,3581,4.82514784956,,
89488,Union (SC),34.722504,-81.629644,10033,24.0972493786,,
76528,Roxborough Park (CO),39.468175,-105.078785,8503,6.57856980025,,
92296,Washington (IN),38.653193,-87.167395,12462,17.0084519206,,
35272,Greenville (AL),31.830744,-86.625137,6026,10.5049917755,,
94294,Westminster--Eldersburg (MD),39.488438,-76.959841,72714,149.447493943,2570122.368,412.0
34613,Gray (GA),33.001223,-83.538428,4566,9.89375458148,,
86626,Taneytown (MD),39.655905,-77.165849,6599,5.12558647035,,
43237,Johnston City (IL),37.818424,-88.926903,3621,4.06110135701,,
52822,Macon (GA),32.833366,-83.670808,137570,253.855094646,8128796.544,949.0
